condition,reaction_id,reaction_name,flux,subsystem,equation
maltose_aerobic,IPMD,3-isopropylmalate dehydrogenase,0.3215764802522213,,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
maltose_aerobic,IPPMIa,3-isopropylmalate dehydratase,-0.3215764802522213,,3c2hmp_c <=> 2ippm_c + h2o_c
maltose_aerobic,IPPMIb,2-isopropylmalate hydratase,-0.3215764802522213,,2ippm_c + h2o_c <=> 3c3hmp_c
maltose_aerobic,HSERTA,Homoserine O trans acetylase,0.062167113085196624,,accoa_c + hom__L_c <=> achms_c + coa_c
maltose_aerobic,HSK,Homoserine kinase,0.4095651865560511,,atp_c + hom__L_c --> adp_c + h_c + phom_c
maltose_aerobic,HSTPT,Histidinol-phosphate transaminase,0.0719315811090495,,glu__L_c + imacp_c --> akg_c + hisp_c
maltose_aerobic,IPPSm,2 isopropylmalate synthase  mitochondrial,0.3215764802522213,,3mob_m + accoa_m + h2o_m --> 3c3hmp_m + coa_m + h_m
maltose_aerobic,KARA1im,Acetohydroxy acid isomeroreductase  mitochondrial,0.6086518401534958,,alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
maltose_aerobic,KARA2im,Ketol acid reductoisomerase  2 Aceto 2 hydroxybutanoate   mitochondrial,0.20906810979960544,,2ahbut_m + h_m + nadph_m --> 23dhmp_m + nadp_m
maltose_aerobic,ICDHyr,Isocitrate dehydrogenase (NADP),5.931069796999356,,icit_c + nadp_c --> akg_c + co2_c + nadph_c
maltose_aerobic,ICDHym,Isocitrate dehydrogenase  NADP,0.9920699512234521,,icit_m + nadp_m --> akg_m + co2_m + nadph_m
maltose_aerobic,ICL,Isocitrate lyase,0.056536269858091806,,icit_c --> glx_c + succ_c
maltose_aerobic,LEUTA,Leucine transaminase,-0.3215764802522213,,akg_c + leu__L_c <=> 4mop_c + glu__L_c
maltose_aerobic,IG3PS,Imidazole-glycerol-3-phosphate synthase,0.0719315811090495,,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c
maltose_aerobic,IGPDH,Imidazoleglycerol-phosphate dehydratase,0.0719315811090495,,eig3p_c --> h2o_c + imacp_c
maltose_aerobic,IGPS,Indole-3-glycerol-phosphate synthase,0.030812321319713516,,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
maltose_aerobic,ILETA,Isoleucine transaminase,3.2098319022495976,,akg_c + ile__L_c <=> 3mop_c + glu__L_c
maltose_aerobic,ILETAm,Isoleucine transaminase  mitochondrial,-3.4189000120492032,,akg_m + ile__L_m <=> 3mop_m + glu__L_m
maltose_aerobic,LNS14DMx,Cytochrome P450 lanosterol 14 alpha demethylase  NAD,0.002386869961386258,,2.0 h_c + lanost_c + 3.0 nadh_c + 3.0 o2_c --> 44mctr_c + for_c + 4.0 h2o_c + 3.0 nad_c
maltose_aerobic,FORt,Formate transport via diffusion,-0.0056091444092577075,,for_e <=> for_c
maltose_aerobic,LNSTLS,Lanosterol synthase,0.002386869961386258,,Ssq23epx_c --> lanost_c
maltose_aerobic,MALT,Alpha glucosidase,10.0,,h2o_c + malt_c --> 2.0 glc__D_c
maltose_aerobic,MALTt2,Maltose transport in via proton symport,10.0,,h_e + malt_e --> h_c + malt_c
maltose_aerobic,MALtm,Malate transport  mitochondrial,-5.523576847546113,,mal__L_c + pi_m <=> mal__L_m + pi_c
maltose_aerobic,MAN1PT,Mannose 1 phosphate guanylyltransferase,0.8765237462745263,,gtp_c + h_c + man1p_c --> gdpmann_c + ppi_c
maltose_aerobic,MAN6PI,Mannose-6-phosphate isomerase,-0.8765237462745263,,man6p_c <=> f6p_c
maltose_aerobic,MANNANter,Mannan endoplasmic reticulum transport via diffusion,-0.8765237462745263,,mannan_c <=> mannan_r
maltose_aerobic,MCITDm,2 methylcitrate dehydratase  mitochondrial,0.3105100831585214,,hcit_m <=> b124tc_m + h2o_m
maltose_aerobic,MDHm,Malate dehydrogenase  mitochondrial,6.281831187233999,,mal__L_m + nad_m <=> h_m + nadh_m + oaa_m
maltose_aerobic,METAT,Methionine adenosyltransferase,0.020288394671783193,,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c
maltose_aerobic,MTHFC,Methenyltetrahydrofolate cyclohydrolase,0.28672817881601464,,h2o_c + methf_c <=> 10fthf_c + h_c
maltose_aerobic,MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),0.28672817881601464,,mlthf_c + nadp_c <=> methf_c + nadph_c
maltose_aerobic,MTHFR3,5 10 methylenetetrahydrofolatereductase  NADPH,0.07529489787282105,,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c
maltose_aerobic,METS,Methionine synthase,0.07529489787282105,,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
maltose_aerobic,NADH2_u6cm,NADH dehydrogenase  cytosolicmitochondrial,13.819848609914423,,h_c + nadh_c + q6_m --> nad_c + q6h2_m
maltose_aerobic,NADH2_u6m,NADH dehydrogenase  mitochondrial,20.064869479111778,,h_m + nadh_m + q6_m --> nad_m + q6h2_m
maltose_aerobic,MEVK2,Mevalonate kinase  ctp,0.014321219768317548,,ctp_c + mev__R_c --> 5pmev_c + cdp_c + h_c
maltose_aerobic,MFAPS_SC,Methylene fatty acyl phospholipid synthase  yeast specific,0.006509645349235249,,amet_c + 0.01 ptdmeeta_SC_c --> ahcys_c + h_c + 0.01 ptd2meeta_SC_c
maltose_aerobic,FUM,Fumarase,0.4640292193113357,,fum_c + h2o_c <=> mal__L_c
maltose_aerobic,MI1PP,Myo-inositol 1-phosphatase,0.005750186725157804,,h2o_c + mi1p__D_c --> inost_c + pi_c
maltose_aerobic,MI1PS,Myo Inositol 1 phosphate synthase,0.005750186725157804,,g6p_c --> mi1p__D_c
maltose_aerobic,FUMm,Fumarase  mitochondrial,5.817801967922664,,fum_m + h2o_m <=> mal__L_m
maltose_aerobic,NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),1.0033424870865608,,atp_c + gdp_c <=> adp_c + gtp_c
maltose_aerobic,NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),1.867617250695593,,atp_c + udp_c <=> adp_c + utp_c
maltose_aerobic,NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),-0.01518917248154891,,atp_c + cdp_c <=> adp_c + ctp_c
