reaction_id,reaction_name,reaction_equation,lower_bound,upper_bound,gene_reaction_rule,subsystem
ALCD26xim,Aldehyde dehydrogenase  tryptophol  NAD   mitochondrial,h_m + id3acald_m + nadh_m --> ind3eth_m + nad_m,0.0,999999.0,YMR083W,
ALCD2x_copy1,Alcohol dehydrogenase (ethanol),etoh_c + nad_c --> acald_c + h_c + nadh_c,0.0,999999.0,YMR303C,
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,acald_c + h_c + nadh_c --> etoh_c + nad_c,0.0,999999.0,YOL086C or YGL256W or YBR145W,
ALCD2irm,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol   mitochondrial,acald_m + h_m + nadh_m --> etoh_m + nad_m,0.0,999999.0,YMR083W,
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c --> 4adcho_c + glu__L_c,0.0,999999.0,YNR033W,
3C3HMPtm,2 Isopropylmalate transport  diffusion  mitochondrial,3c3hmp_c <=> 3c3hmp_m,-999999.0,999999.0,,
ADD,Adenine deaminase,ade_c + h2o_c + h_c --> hxan_c + nh4_c,0.0,999999.0,YNL141W,
ADEt2,Adenine transport in via proton symport,ade_e + h_e --> ade_c + h_c,0.0,999999.0,YER056C or YER060W or YER060W_A or YGL186C,
ADEtm,Adenine reversible transport  mitochondria,ade_c <=> ade_m,-999999.0,999999.0,,
ADHAPR_SC,Acyldihydroxyacetonephosphate reductase  yeast specific,0.01 1agly3p_SC_c + h_c + nadph_c --> 0.01 1ag3p_SC_c + nadp_c,0.0,999999.0,YIL124W,
ADK1,Adenylate kinase,amp_c + atp_c <=> 2.0 adp_c,-999999.0,999999.0,YDR226W,
ADK1m,Adenylate kinase  mitochondrial,amp_m + atp_m <=> 2.0 adp_m,-999999.0,999999.0,YER170W,
ADK3,Adentylate kinase (GTP),amp_c + gtp_c <=> adp_c + gdp_c,-999999.0,999999.0,YDR226W,
ALCD2x_copy2,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,-999999.0,999999.0,YDL168W,
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c,0.0,999999.0,YMR170C or YMR169C,
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,h2o_m + id3acald_m + nad_m --> 2.0 h_m + ind3ac_m + nadh_m,0.0,999999.0,YOR374W,
ALDD20y,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP,h2o_c + id3acald_c + nadp_c --> 2.0 h_c + ind3ac_c + nadph_c,0.0,999999.0,YPL061W,
ALDD20ym,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP   mitochondrial,h2o_m + id3acald_m + nadp_m --> 2.0 h_m + ind3ac_m + nadph_m,0.0,999999.0,YOR374W or YER073W,
ALDD22x,Aldehyde dehydrogenase  3 aminopropanal  NAD,aproa_c + h2o_c + nad_c --> ala_B_c + 2.0 h_c + nadh_c,0.0,999999.0,YMR170C or YMR169C,
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,acald_m + h2o_m + nad_m --> ac_m + 2.0 h_m + nadh_m,0.0,999999.0,YOR374W,
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,0.0,999999.0,YPL061W,
ALDD2ym,Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial,acald_m + h2o_m + nadp_m --> ac_m + 2.0 h_m + nadph_m,0.0,999999.0,YER073W or YOR374W,
ADK3m,Adentylate kinase  GTP,amp_m + gtp_m <=> adp_m + gdp_m,-999999.0,999999.0,YER170W,
ADK4,Adentylate kinase (ITP),amp_c + itp_c <=> adp_c + idp_c,-999999.0,999999.0,YDR226W,
ADK4m,Adentylate kinase  ITP   mitochondrial,amp_m + itp_m <=> adp_m + idp_m,-999999.0,999999.0,YER170W,
ADMDC,Adenosylmethionine decarboxylase,amet_c + h_c --> ametam_c + co2_c,0.0,999999.0,YOL052C,
ADNCYC,Adenylate cyclase,atp_c --> camp_c + ppi_c,0.0,999999.0,YJL005W,
ADNK1,Adenosine kinase,adn_c + atp_c --> adp_c + amp_c + h_c,0.0,999999.0,YJR105W,
ADNUC,Adenosine hydrolase,adn_c + h2o_c --> ade_c + rib__D_c,0.0,999999.0,YDR400W,
ALLTAHr,Allantoate amidinohydrolase  reversible,alltt_c + h2o_c <=> urdglyc_c + urea_c,-999999.0,999999.0,YIR029W,
ALLTN,Allantoinase,alltn_c + h2o_c <=> alltt_c + h_c,-999999.0,999999.0,YIR027C,
ALLTNti,Allantoin irreversible uniport,alltn_e --> alltn_c,0.0,999999.0,YIR028W,
ALLTTti,Allantoate irreversible uniport,alltt_e --> alltt_c,0.0,999999.0,YJR152W,
ADNt2,Adenosine transport in via proton symport,adn_e + h_e --> adn_c + h_c,0.0,999999.0,YAL022C,
3C4MOPtm,3 Carboxy 4 methyl 2 oxopentanoate transport  diffusion  mitochondrial,3c4mop_c <=> 3c4mop_m,-999999.0,999999.0,,
ADPT,Adenine phosphoribosyltransferase,ade_c + prpp_c --> amp_c + ppi_c,0.0,999999.0,YML022W or YDR441C,
ADSK,Adenylyl-sulfate kinase,aps_c + atp_c --> adp_c + h_c + paps_c,0.0,999999.0,YKL001C,
ALPHNH,Allophanate hydrolase,allphn_c + h2o_c + 3.0 h_c --> 2.0 co2_c + 2.0 nh4_c,0.0,999999.0,YBR208C,
AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <=> amob_c + dann_c,-999999.0,999999.0,YNR058W,
ADSL1r,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,-999999.0,999999.0,YLR359W,
AMETt2,S adenosyl L methionine transport in via proton symport,amet_e + h_e --> amet_c + h_c,0.0,999999.0,YPL274W,
3DH5HPBMTm,S adenosyl L methionine3 hexaprenyl 4 5 dihydroxylate O methyltransferase  mitochondrial,3dh5hpb_m + amet_m --> 3hph5mb_m + ahcys_m + h_m,0.0,999999.0,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,
AMETtm,S Adenosyl L methionine reversible transport  mitochondrial,amet_c <=> amet_m,-999999.0,999999.0,YNL003C,
AMID,GUANIDINOBUTANAMIDE-NH3-RXN,4gudbd_c + h2o_c --> 4gudbutn_c + nh4_c,0.0,999999.0,YMR293C or YDR242W,
AMID2,Amidase,h2o_c + pad_c --> nh4_c + pac_c,0.0,999999.0,YDR242W,
AMID3,Amidase,h2o_c + iad_c --> ind3ac_c + nh4_c,0.0,999999.0,YDR242W,
ADSL2r,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,-999999.0,999999.0,YLR359W,
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,0.0,999999.0,YNL220W,
AMPN,AMP nucleosidase,amp_c + h2o_c --> ade_c + r5p_c,0.0,999999.0,YML035C or YBR284W or YJL070C,
AMPDA,Adenosine monophosphate deaminase,amp_c + h2o_c + h_c --> imp_c + nh4_c,0.0,999999.0,YML035C,
3DH5HPBtm,3 Hexaprenyl 4 5 dihydroxybenzoate transport  mitochondrial,3dh5hpb_c <=> 3dh5hpb_m,-999999.0,999999.0,,
AMPtn,AMP transport via diffusion  cytosol to nucleus,amp_n <=> amp_c,-999999.0,999999.0,,
