reaction_id,reaction_name,subsystem
3HPH5MBDCm,3 Hexaprenyl 4 hydroxy 5 methoxybenzoate decarboxylase  mitochondrial,
ARAB_Dt,D arabinose reversible transport,
ARAB_Lt,L arabinoase extracellular transport,
ARGN,Arginase,
BPNT,"3',5'-bisphosphate nucleotidase",
BTDD_RR,R R  butanediol dehydrogenase,
BTDt_RR,R R  butanediol transport,
3IPM3MT,3 Isopropylmalate 3 methyltransferase,
BTNt2i,Biotin uptake,
BTSr,Biotin synthase,
C14STR,C 14 sterol reductase,
C22STDS,C 22 sterol desaturase  NADP,
C22STDSx,C 22 sterol desaturase  NAD,
C24STRer,C s24 sterol reductase  endoplamic reticular,
C3STDH1,C 3 sterol dehydrogenase  4 methylzymosterol,
ARGSL,Argininosuccinate lyase,
ARGSS,Argininosuccinate synthase,
ARGTRS,Arginyl-tRNA synthetase,
ARGTRSm,Arginyl tRNA synthetase  mitochondrial,
ARGt2m,Arginine mitochondrial transport via proton symport,
ARGt2r,L arganine reversible transport via proton symport,
ARGt6,L arginine transport in via proton antiport  vacuolar,
ARMT,HnRNP arginine N methyltransferase,
ASAD,Aspartate-semialdehyde dehydrogenase,
C3STDH2,C 3 sterol dehydrogenase  zymosterol,
C3STKR1,C 3 sterol keto reductase  4 methylzymosterol,
C3STKR2,C 3 sterol keto reductase  zymosterol,
ASNN,L-asparaginase,
C4STMO1,C 4 sterol methyl oxidase  4 4 dimethylzymosterol,
ASNNe,L asparaginase  extracellular,
C4STMO2,C 4 sterol methyl oxidase  4 methylzymosterol,
ASNS1,Asparagine synthase (glutamine-hydrolysing),
3MBALDt,3 methylbutanal transport  extracellular,
ASNTRS,Asparaginyl-tRNA synthetase,
ASNTRSm,Asparaginyl tRNA synthetase  miotchondrial,
C5STDS,C 5 sterol desaturase,
C8STI,C 8 sterol isomerase,
ASNt2m,Asparagine mitochondrial transport via proton transport,
ASNt2r,L asparagine reversible transport via proton symport,
3MBALDtm,3 methylbutanal transport  mitochondrial,
ASNt6,L asparagine transport in via proton antiport  vacuolar,
ASNt7,L asparagine transport out via proton symport  vacuolar,
CAT,Catalase,
CATp,Catalase A  peroxisomal,
ASPCT,Aspartate carbamoyltransferase,
3MOBDC,3 Methyl 2 oxobutanoate decarboxylase,
ASPGLU2m,Aspartate glutamate transporter,
ASPGLUtp,Aspartate glutamate peroxisomal shuttle,
ASPK,Aspartate kinase,
ASPOcm,Aspartate oxidase,
CBASPtn,N carbomoyl L aspartate transport  diffusion,
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),
CBPtn,Carbamoyl phosphate nuclear transport via diffusion,
CCP2m,Cytochrome c peroxidase  mitochondrial,
CDPDGPm_SC,CDP diacylglycerol  serine O phosphatidyltransferae  yeast specific  mitochondrial,
ASPTA,Aspartate transaminase,
ASPTAm,Aspartate transaminase,
3MOBtm,3 methyl 2 oxobutanoate transport  diffusion  mitochondrial,
ASPTAp,Aspartate transaminase  peroxisomal,
ASPTRS,Aspartyl-tRNA synthetase,
ASPTRSm,Aspartyl tRNA synthetase  mitochondrial,
CDPtn,CDP nuclear transport,
CER1_24ter,Ceramide 1  C24  endoplasmic reticular transport,
CER1_26ter,Ceramide 1  C26  endoplasmic reticular transport,
CER2_24ter,Ceramide 2  C24  endoplasmic reticular transport,
CER2_26ter,Ceramide 2  C26  endoplasmic reticular transport,
ASPt2m,Aspartate mitochondrial transport via proton symport,
ASPt2n,Aspartate nuclear transport via proton symport,
CERASE124er,Alkaline ceramidase  ceramide 1   endoplasmic reticulum,
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,
CERASE126er,Alkaline ceramidase  ceramide 1   endoplasmic reticulum,
ASPt2r,L aspartate reversible transport via proton symport,
ASPt5n,L aspartate nuclear transport via diffusion,
ASPt7,L aspartate transport out via proton symport  vacuolar,
CERASE224er,Alkaline ceramidase  ceramide 2   endoplasmic reticulum,
CERASE226er,Alkaline ceramidase  ceramide 2   endoplasmic reticulum,
ATHRDHr,L-allo-threonine dehydrogenase,
3MOPt,3mop reversible trasport,
ATP2tp_H,AMPATP transporter  peroxisomal,
ATPATF1,ATP adenylyltransferase,
ATPATF2,ATP adenylyltransferase,
ATPATF3,ATP adenylyltransferase,
ATPH1,ATP diphosphohydrolase,
ATPM,ATP maintenance requirement,
CERH124_copy1,Ceramide 1 hydroxylase  24C,
CERH126_copy1,Ceramide 1 hydroxylase  26C,
CERS124,Ceramide 1 synthase  24C,
CERS124er,Ceramide 1 synthase  24C   endoplasmic reticular,
CERS126,Ceramide 1 synthase  26C,
CERS126er,Ceramide 1 synthase  26C   endoplasmic reticular,
CERS224,Ceramide 2 synthase  24C,
CERS224er,Ceramide 2 synthase  24C   endoplasmic reticular,
ATPPRT,ATP phosphoribosyltransferase,
ATPS,ATPase  cytosolic,
ATPS3g,ATP synthase  Golgi Apparatus,
ATPS3m,ATP synthase  mitochondrial,
CERS226,Ceramide 2 synthase  26C,
CERS226er,Ceramide 2 synthase  26C   endoplasmic reticular,
CERH124_copy2,Ceramide 1 hydroxylase  24C,
CERH126_copy2,Ceramide 1 hydroxylase  26C,
CITtbm,Citrate transport  mitochondrial,
3MOPtm,3 Methyl 2 oxopentanoate transport  diffusion  mitochondrial,
CITtcm,Citrate transport  mitochondrial,
CERS324,Ceramide 3 synthase  24C,
CERS326,Ceramide 3 synthase  26C,
CHLPCTD,Choline phosphate cytididyltransferase,
CHLSTI,Cholestenol delta isomerase  lumped reaction,
CLPNSm_SC,Cardiolipin synthase  yeast specific  mitochondrial,
3OPHB5Hm,3 Hexaprenyl 4 5 dihydroxybenzoate hydroxylase  mitochondrial,
CMPN,CMP nucleosidase,
CHLt2,Choline transport via proton symport,
CHOLK,Choline kinase,
CHORM,Chorismate mutase,
CHORS,Chorismate synthase,
CHRPL,Chorismate pyruvate lyase,
CO2t,CO2 transporter via diffusion,
CO2tg,CO2 Golgi transport,
CO2tm,CO2 transport  diffusion   mitochondrial,
CO2tn,CO2 nuclear transport via diffusion,
CO2tp,CO2 peroxisomal transport,
CHTNDA,Chitin deacetylase,
CHTNS,Chitin synthase,
CITt2r,Citrate reversible transport via symport,
CO2tv,CO2 vacuolar transport,
COAHLp,CoA hydrolase  peroxisomal,
3OPHB_5tm,3 Octaprenyl 4 hydroxybenzoate mitochondrial transport,
COAtim,CoA transporter  mitochondrial   irreversible,
CITtam,Citrate transport  mitochondrial,
CITtap,Citratemalate antiport into peroxisome,
COAtn,Coenzyme A transport  nuclear,
4ABUTNtm,4 aminobutanal mitochondrial transport via diffusion,
COUCOAFm,P coumaroyl CoA formation,
CPPPGO,Coproporphyrinogen oxidase (O2 required),
4ABUTtm,4 aminobutanoate mitochondrial transport via diffusion,
CRNCARtm,Carnithine acetylcarnithine carrier  mitochondrial,
CRNCARtp,Carnitine acetylcarnitine carrier  peroxisomal,
DCTPD,DCTP deaminase,
DCYTD,Deoxycytidine deaminase,
CRNt,L carnitine reversible transport,
4ABZt,4 Aminobenzoate mitochondrial transport via diffusion,
CRNtim,L carnitine transport out of mitochondria via diffusion,
DCYTt2,Deoxycytidine transport in via proton symport,
CRNtp,Carnitine transport into peroxsiome,
4ABZtm,4 Aminobenzoate mitochondrial transport via diffusion,
CSNATm,Carnitine O aceyltransferase  mitochondrial,
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,
DDPAm,2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial,
DESAT14,Myristicoyl CoA desaturase  n C140CoA   n C141CoA,
DESAT16,Palmitoyl CoA desaturase  n C160CoA   n C161CoA,
DESAT18,Stearoyl CoA desaturase  n C180CoA   n C181CoA,
CSNATp,Carnitine O acetyltransferase  reverse direction  peroxisomal,
CSNATr,Carnitine O acetyltransferase,
CSND,Cytosine deaminase,
CSNt2,Cytosine transport in via proton symport,
CSm,Citrate synthase,
DESAT18_2,Oleoyl CoA desaturase  n C181CoA   n C182CoA,
DGDPtn,DGDP nuclear transport,
CSp,Citrate synthase,
DGGH,Alpha D glucoside glucohydrase,
4H2OGLTtm,4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion,
DGK1,Deoxyguanylate kinase (dGMP:ATP),
DGSNt2,Deoxyguanosine transport in via proton symport,
CTPS1,CTP synthase  NH3,
CTPS2,CTP synthase (glutamine),
CTPtm,CTPCMP antiport,
DHAD1m,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylbutanoate   mitochondrial,
4H2OGLTtp,4 hydroxy 2 oxoglutarate peroxisomal transport via diffusion,
DHAD2m,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate   mitochondrial,
DHAK,Dihydroxyacetone kinase,
CYOOm,Cytochrome c oxidase  mitochondrial,
CYOR_u6m,Ubiquinol 6 cytochrome c reductase,
DHAPtm,Dihydroxyacetone phosphate transport  mitochondrial,
DHFR,Dihydrofolate reductase,
CYSS,Cysteine synthase,
4HBZCOAFm,4 hydroxybenzoyl CoA formation,
CYSTGL,Cystathionine g lyase,
CYSTL,Cystathionine b-lyase,
CYSTLp,Cystathione b lyase  peroxisomal,
CYSTRS,Cysteinyl-tRNA synthetase,
CYSTS,Cystathionine beta synthase,
DHFRim,Dihydrofolate reductase  mitochondrial,
DHFS,Dihydrofolate synthase,
DHFtm,Dihydrofolate reversible mitochondrial transport,
DHNPAm,Dihydroneopterin aldolase,
DHNPTtm,Dhnpt mitochondrial transport,
DHORD4i,Dihydoorotic acid  ubiquinone 6   irreversible,
DHORDfum,Fumarate dependent DHORD,
CYSTtp,Cystathione peroxisomal transport,
CYSt2r,L cysteine reversible transport via proton symport,
CYTD,Cytidine deaminase,
CYTDK2,Cytidine kinase (GTP),
DHORDi,Dihydoorotic acid dehydrogenase  irreversible,
DHORTS,Dihydroorotase,
4HBZFm,4 hydroxybenzoate formation,
DHPSm,Dihydropteroate synthase  mitochondrial,
DHPTtm,Dihydropteroate mitochondrial transport via diffusion,
DHQS,3-dehydroquinate synthase,
DHQTi,"3-dehydroquinate dehydratase, irreversible",
CYTDt2,Cytidine transport in via proton symport,
CYTK1,Cytidylate kinase (CMP),
CYTK2,Cytidylate kinase (dCMP),
DADA,Deoxyadenosine deaminase,
DADK,Deoxyadenylate kinase,
DIAT,Diamine transaminase,
DINSt2,Deoxyinosine transport in via proton symport,
DADNt2,Deoxyadenosine transport in via proton symport,
DIPS,Diphthine synthase,
DADPtn,DADP nuclear transport,
4HBZtm,4 Hydroxybenzoate mitochondrial transport,
DAGCPT_SC,Diacylglycerol cholinephosphotransferase  yeast specific,
DAGPYP_SC,Diacylglycerol pyrophosphate phosphatase  yeast specific,
DKMPPD2,2 3 diketo 5 methylthio 1 phosphopentane degradation reaction,
DMATT,Dimethylallyltranstransferase,
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,
DOLK,Dolichol kinase,
DOLPMMer,Dolichyl phosphate mannose  protein mannosyltransferase  endoplasmic reticular,
DANNt2,7 8 Diaminononanoate reversible transport via proton symport,
DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,
DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",
DBTS,Dethiobiotin synthase,
DCDPtn,DCDP nuclear transport,
DCMPDA,DCMP deaminase,
DOLPMTcer,Dolichyl phosphate D mannosyltransferase,
DOLPt2er,Dolichol phosphate endoplasmic reticular transport via proton symport,
4HGLSDm,L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial,
DPCOAK,Dephospho-CoA kinase,
DPCOAKm,Dephospho CoA kinase  mitochondrial,
DPGM,Diphosphoglyceromutase,
DPMVD,Diphosphomevalonate decarboxylase,
ECOAH4p,3 hydroxyacyl CoA dehydratase  3 hydroxydecanoyl CoA   peroxisomal,
ECOAH5p,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA   peroxisomal,
DPR,2-dehydropantoate 2-reductase,
