reaction_id,reaction_name,subsystem
DALAt2r,D-alanine transport via proton symport,
ARSNAt1,Arsenate transporter,
ALAt2r,L alanine reversible transport via proton symport,
EX_no2_e,Nitrite exchange,
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,
ARSt1,Arsenite transporter via uniport,
ARGabc,L-arginine transport via ABC system,
EX_no3_e,Nitrate exchange,
ARGt2r,L arganine reversible transport via proton symport,
ARSENBabc,Arsenobetaine transport in via ABC system,
CYSGLYt2ir,Cys Gly transport in via symport,
CYSTabc,L cystine transport via ABC system,
ARSENBt2,Arsenobetaine transport in via proton symport,
EX_o2_e,O2 exchange,
ASAD,Aspartate-semialdehyde dehydrogenase,
ASNN,L-asparaginase,
ASNS1,Asparagine synthase (glutamine-hydrolysing),
CYSabc,L-cysteine transport via ABC system,
DEXTRINt2,Dextrin transport in via proton symport,
ASP1DC,Aspartate 1-decarboxylase,
EX_orn__L_e,Ornithine exchange,
ASPCT,Aspartate carbamoyltransferase,
ASPK,Aspartate kinase,
DHAt,Dihydroxyacetone transport via facilitated diffusion,
EX_pala_e,Palatinose exchange,
EX_4abut_e,4-Aminobutanoate exchange,
ASPO6,L-aspartate oxidase,
ASPO1,L-aspartate oxidase,
ASPT,L-aspartase,
ASPTA,Aspartate transaminase,
EX_pep_e,Phosphoenolpyruvate exchange,
ATPPRT,ATP phosphoribosyltransferase,
DADK,Deoxyadenylate kinase,
EX_phe__L_e,L-Phenylalanine exchange,
DADNt2,Deoxyadenosine transport in via proton symport,
ATPS4r,ATP synthase (four protons for one ATP),
BETALDHx,Betaine-aldehyde dehydrogenase,
BG_CELLB,Beta glucosidase  cellobiose,
CYSS_2,Cysteine synthase,
EX_pi_e,Phosphate exchange,
DHPPDA,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,
BG_MADG,Beta glucosidase  methyl alpha D glucoside,
BG_MBDG,Beta glucosidase,
BILEt4,Bile acid transport in via sodium symport,
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,
EX_pnto__R_e,(R)-Pantothenate exchange,
CRNabc,L-carnitine transport via ABC system,
BTDD_RR,R R  butanediol dehydrogenase,
EX_ppa_e,Propionate exchange,
BLACT,Beta lactamase,
CTPS1,CTP synthase  NH3,
BTS_1,Biotin synthase,
CPPPGO,Coproporphyrinogen oxidase (O2 required),
EX_ppi_e,Diphosphate exchange,
CRO4t3,Chromate transport out via proton antiport,
CS,Citrate synthase,
EX_pro__L_e,L-Proline exchange,
CTPS2,CTP synthase (glutamine),
CYOR3m,Cytochrome c reductase  menaquinol 7 3 protons,
BUTKr,Butyrate kinase,
BUTSabc,Butanesulfonate transport via ABC system,
EX_prolb_e,Proline betaine exchange,
CA2abc1,Calcium efflux  via ABC system,
CAT,Catalase,
CAt4,Calcium transport inout via proton antiporter,
CYOO3,Cytochrome c oxidase  He   2,
CYSTGL,Cystathionine g lyase,
CYSTL,Cystathionine b-lyase,
CYSTS,Cystathionine beta synthase,
DCYTD,Deoxycytidine deaminase,
CYTB_B2,Menaquinol oxidase  71 protons,
CYTB_B3,Menauinol oxidase  72 protons,
CBL2abc,Cobalamin uptake in via ABC transport,
CD2t4,Cadminum transport out via antiport,
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),
CYTD,Cytidine deaminase,
EX_pser__D_e,D O Phosphoserine exchange,
EX_pser__L_e,O-Phospho-L-serine exchange,
DJENKabc,Djenkolate transporter via ABC system,
CYTDK1,ATP:cytidine 5'-phosphotransferase,
CD2abc1,Cadmium transport out via ABC system,
CDGPT_BS,CDPdiacylglycerolsn glycerol 3 phosphate 3 phosphatidyltransferase,
CDPDSP_BS,CDPdiacylglycerol serine O phosphatidyltransferase,
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,
CHCOAL,6-carboxyhexanoate-CoA ligase,
CYTDK2,Cytidine kinase (GTP),
DCYTt2,Deoxycytidine transport in via proton symport,
CHOLD2,Choline dehydrogenase  FAD dependent,
DTMPt6,DTMP transport inout via proton symport,
CHORM,Chorismate mutase,
CHORS,Chorismate synthase,
CYTK1,Cytidylate kinase (CMP),
CYTK2,Cytidylate kinase (dCMP),
CYTOM,Cytosine 5 methyltransferase,
CITt10,Citrate transport in via Mg complex,
CITt11,Citrate transport in via Mn complex,
CITt12,Citrate transport in via Ni complex,
D4DGCD,5 dehydro 4 deoxyglucarate dehydratase,
Cut1,Copper export via ATPase,
DAAOP,D alanyl aminopeptidase,
DAGK_BS,Diacylglycerol kinase,
DALAOX,D amino acid oxidase,
CITt13,Citrate transport in via Co complex,
CLPNS2_BS,Cardiolipin synthase,
CITt14,Citrate transport in via Ca complex,
CITt2r,Citrate reversible transport via symport,
DAPDC,Diaminopimelate decarboxylase,
DAPE,Diaminopimelate epimerase,
ETHAAL,Ethanolamine ammonia-lyase,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",
DBTS,Dethiobiotin synthase,
FOLt,Folate transport via proton simport,
FORAMD,FORAMD,
DCMPDA,DCMP deaminase,
ETOHt3,Ethanol transport out via proton antiport,
CMPDAi,CMP deaminase,
FRTT,Farnesyltranstransferase,
EX_2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate exchange,
DDGLCNt2r,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible",
DDGLK,2-dehydro-3-deoxygluconokinase,
EX_2hxmp_e,2  Hydroxymethyl phenol exchange,
DGK1,Deoxyguanylate kinase (dGMP:ATP),
DGNSK,Deoxyguanosine kinase,
G1Pt6_2,Glucose 1 phosphate transport via phosphate antiport,
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",
G3POA_BS,Glycerol 3 phosphate O acyltransferase,
EX_2pg_e,D Glycerate 2 phosphate exchange,
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",
