condition,reaction_id,reaction_name,flux,subsystem,equation
glucose_aerobic,DPCOAK,Dephospho-CoA kinase,0.0002209821019585334,,atp_c + dpcoa_c --> adp_c + coa_c + h_c
glucose_aerobic,DPMVD,Diphosphomevalonate decarboxylase,0.42232135040954893,,5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c
glucose_aerobic,DPR,2-dehydropantoate 2-reductase,0.0002209821019585334,,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c
glucose_aerobic,DTMPK,DTMP kinase,0.010038572360843257,,atp_c + dtmp_c <=> adp_c + dtdp_c
glucose_aerobic,DXPS,1-deoxy-D-xylulose 5-phosphate synthase,8.555383461239954e-05,,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
glucose_aerobic,ENO,Enolase,14.852813422296396,,2pg_c <=> h2o_c + pep_c
glucose_aerobic,FBA,Fructose-bisphosphate aldolase,2.4381837119069916,,fdp_c <=> dhap_c + g3p_c
glucose_aerobic,FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",3.563471538781149,,s17bp_c <=> dhap_c + e4p_c
glucose_aerobic,FCLT,Ferrochelatase,0.0001044485716288103,,fe2_c + ppp9_c --> 2.0 h_c + pheme_c
glucose_aerobic,FE2t,Iron  II  transport,0.005676190006946651,,fe2_e --> fe2_c
glucose_aerobic,FEROc,Ferroxidase,0.0007488837899704211,,4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c
glucose_aerobic,FMNAT,FMN adenylyltransferase,8.555383461239954e-05,,atp_c + fmn_c + h_c --> fad_c + ppi_c
glucose_aerobic,FORMCOAL,FORMCOAL,-3.836494825668141e-05,,atp_c + coa_c + for_c <=> amp_c + forcoa_c + ppi_c
glucose_aerobic,FRTT,Farnesyltranstransferase,0.03836494825668141,,frdp_c + ipdp_c --> ggdp_c + ppi_c
glucose_aerobic,FTHFLi,Formate-tetrahydrofolate ligase,0.0008083494597683154,,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
glucose_aerobic,FUM,Fumarase,0.3990238519312461,,fum_c + h2o_c <=> mal__L_c
glucose_aerobic,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,0.07672989651336282,,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c
glucose_aerobic,G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),0.08480763636880709,,glu5sa_c --> 1pyr5c_c + h2o_c + h_c
glucose_aerobic,G5SD,Glutamate-5-semialdehyde dehydrogenase,0.19828808411621016,,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
glucose_aerobic,G6PDH2r,Glucose 6-phosphate dehydrogenase,10.902389012100768,,g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c
