species,condition,reaction_id,reaction_name,reaction_equation,flux
B_subtilis,dextrin_aerobic,UAG2E,UDP-N-acetylglucosamine 2-epimerase,uacgam_c <=> uacmam_c,0.006853843201632142
B_subtilis,dextrin_aerobic,FTHFD,Formyltetrahydrofolate deformylase,10fthf_c + h2o_c --> for_c + h_c + thf_c,0.006634766570449785
B_subtilis,dextrin_aerobic,KAS13,B-ketoacyl synthetase (octadecanoate),accoa_c + 23.0 h_c + 8.0 malcoa_c + 16.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 16.0 nadp_c + ocdca_c,0.005680155546821194
B_subtilis,dextrin_aerobic,TECA1S45,Glycerol teichoic acid  n45   unlinked  unsubstituted,45.0 cdpglyc_c + uacgam_c + uacmam_c --> 45.0 cmp_c + gtca1_45_BS_c + 46.0 h_c + udp_c + ump_c,0.003188488801375466
B_subtilis,dextrin_aerobic,TECA4S_BS,Minor teichoic acid synthesis  n30,30.0 h2o_c + 30.0 uacgala_c + 30.0 udpg_c --> 60.0 h_c + tcam_BS_c + 30.0 udp_c + 30.0 ump_c,0.00273801797734008
B_subtilis,dextrin_aerobic,TECA2S45,Glycerol teichoic acid  n45   unlinked  D ala substituted,45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> 45.0 amp_c + 45.0 cmp_c + gtca2_45_BS_c + 91.0 h_c + 45.0 ppi_c + udp_c + ump_c,0.0020649512187715835
B_subtilis,dextrin_aerobic,DXPS,1-deoxy-D-xylulose 5-phosphate synthase,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,0.0016382356920974228
B_subtilis,dextrin_aerobic,TECA3S45,Glycerol teichoic acid  n45   unlinked  glucose substituted,45.0 cdpglyc_c + h2o_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + gtca3_45_BS_c + 91.0 h_c + 46.0 udp_c + ump_c,0.001600403181485092
B_subtilis,dextrin_aerobic,EX_glyclt_e,Glycolate exchange,glyclt_e --> ,0.00032289607894728234
B_subtilis,dextrin_aerobic,ADCL,4-aminobenzoate synthase,4adcho_c --> 4abz_c + h_c + pyr_c,0.00032289607894728234
B_subtilis,dextrin_aerobic,GCALDD,Glycolaldehyde dehydrogenase,gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c,0.00032289607894728234
B_subtilis,dextrin_aerobic,HPPK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,2ahhmp_c + atp_c --> 2ahhmd_c + amp_c + h_c,0.00032289607894728234
B_subtilis,dextrin_aerobic,2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,akg_c + h_c + ichor_c --> 2shchc_c + co2_c + pyr_c,0.00023403367029963332
B_subtilis,dextrin_aerobic,PYNP1,Pyrimidine-nucleoside phosphorylase (cytosine),csn_c + r1p_c <=> cytd_c + pi_c,0.00023403367029963332
B_subtilis,dextrin_aerobic,SUCBZL,O-succinylbenzoate-CoA ligase,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c,0.00023403367029963332
B_subtilis,dextrin_aerobic,SUCBZS,O-succinylbenzoate-CoA synthase,2shchc_c --> h2o_c + sucbz_c,0.00023403367029963332
B_subtilis,dextrin_aerobic,LIPO2S24_BS,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 uacgam_c --> 2400.0 cmp_c + 4800.0 h_c + lipo2_24_BS_c + 2400.0 udp_c,5.278954969164679e-06
B_subtilis,dextrin_aerobic,GLYCLTt2r,"Glycolate transport via proton symport, reversible",glyclt_e + h_e <=> glyclt_c + h_c,-0.00032289607894728234
B_subtilis,dextrin_aerobic,FORt2,Formate transport in via proton symport,for_e + h_e <=> for_c + h_c,-0.006957662649397067
B_subtilis,dextrin_aerobic,PHETA1,Phenylalanine transaminase,akg_c + phe__L_c <=> glu__L_c + phpyr_c,-0.15479567638664407
B_subtilis,dextrin_aerobic,ACOTA,Acetylornithine transaminase,acorn_c + akg_c <=> acg5sa_c + glu__L_c,-0.16982486118385592
B_subtilis,dextrin_aerobic,AGPR,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,-0.16982486118385592
B_subtilis,dextrin_aerobic,PGMT,Phosphoglucomutase,g1p_c <=> g6p_c,-0.22137737576106178
B_subtilis,dextrin_aerobic,ALATA_L,L-alanine transaminase,akg_c + ala__L_c <=> glu__L_c + pyr_c,-0.6345022328670922
B_subtilis,dextrin_aerobic,EX_dextrin_e,Dextrin exchange,dextrin_e <=> ,-9.999999999999854
B_subtilis,dextrin_aerobic,L_LACt2r,L lactate reversible transport via proton symport,h_e + lac__L_e <=> h_c + lac__L_c,-11.194400891260816
B_subtilis,dextrin_aerobic,LDH_L,L-lactate dehydrogenase,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c,-11.194400891260816
B_subtilis,dextrin_aerobic,ACKr,Acetate kinase,ac_c + atp_c <=> actp_c + adp_c,-16.071513889740757
B_subtilis,dextrin_aerobic,ACt2r,Acetate reversible transport via proton symport,ac_e + h_e <=> ac_c + h_c,-16.447296299220746
B_subtilis,glucose_aerobic,ENO,Enolase,2pg_c <=> h2o_c + pep_c,17.30333714491858
B_subtilis,glucose_aerobic,PDH,Pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,12.964599786287167
B_subtilis,glucose_aerobic,GLCpts,D-glucose transport via PEP:Pyr PTS,glc__D_e + pep_c --> g6p_c + pyr_c,10.0
B_subtilis,glucose_aerobic,PGI,Glucose-6-phosphate isomerase,g6p_c <=> f6p_c,9.82564430415334
B_subtilis,glucose_aerobic,EX_ac_e,Acetate exchange,ac_e --> ,6.800410932965764
B_subtilis,glucose_aerobic,PYK,Pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,6.759179542271036
B_subtilis,glucose_aerobic,PTAr,Phosphotransacetylase,accoa_c + pi_c <=> actp_c + coa_c,6.504446617431843
B_subtilis,glucose_aerobic,ACONT,Aconitate hydratase,cit_c <=> icit_c,4.808719962884926
B_subtilis,glucose_aerobic,CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,4.808719962884926
B_subtilis,glucose_aerobic,ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,4.808719962884926
B_subtilis,glucose_aerobic,AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,4.131831951633171
B_subtilis,glucose_aerobic,SUCD1,Succinate dehydrogenase,fad_c + succ_c <=> fadh2_c + fum_c,4.131831951633171
B_subtilis,glucose_aerobic,SUCD5_BS,Succinate dehydrogenase,fadh2_c + 2.0 h_e + mqn7_c --> fad_c + 2.0 h_c + mql7_c,4.131831951633171
B_subtilis,glucose_aerobic,PC,Pyruvate carboxylase,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,1.7452033989941262
B_subtilis,glucose_aerobic,ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,0.7666827710657315
B_subtilis,glucose_aerobic,ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,0.705347317844853
